"index","source","name","relative_key","image_url","local_file","status"
"1","HOT GAME","Quyết Chiến Tiền Thưởng Khủng","0/349_N_168G.png","https://m.c168i.top/game_pictures/g/2865/CL/349/3/3490020/custom.avif","images/01_Quyet_Chien_Tien_Thuong_Khung.avif","ok"
"2","HOT GAME","Kho Báu Aztec 2","0/349_N_168G.png","https://m.c168i.top/game_pictures/g/2865/CL/349/3/3490018/custom.avif","images/02_Kho_Bau_Aztec_2.avif","ok"
"3","HOT GAME","Quyết Chiến Giành Tiền Thưởng","0/200_N_PG.png","https://m.c168i.top/game_pictures/g/2865/CL/200/3/2000135/custom.avif","images/03_Quyet_Chien_Gianh_Tien_Thuong.avif","ok"
"4","HOT GAME","Kho Báu Aztec","0/200_N_PG.png","https://m.c168i.top/game_pictures/g/2865/CL/200/3/2000087/custom.avif","images/04_Kho_Bau_Aztec.avif","ok"
"5","HOT GAME","Đường Mạt Chược 2","0/200_N_PG.png","https://m.c168i.top/game_pictures/g/2865/CL/200/3/2000074/custom.avif","images/05_uong_Mat_Chuoc_2.avif","ok"
"6","HOT GAME","Aviator","0/312_N_Spribe-SL.png","https://m.c168i.top/game_pictures/g/2865/CL/312/11/312001/custom.avif","images/06_Aviator.avif","ok"
"7","HOT GAME","Tiền đạo bóng đá","0/313_N_MG.png","https://m.c168i.top/game_pictures/g/2865/CL/313/3/3130349/custom.avif","images/07_Tien_ao_bong_a.avif","ok"
"8","HOT GAME","Kỳ Lân Mách Nước","0/200_N_PG.png","https://m.c168i.top/game_pictures/g/2865/CL/200/3/2000106/custom.avif","images/08_Ky_Lan_Mach_Nuoc.avif","ok"
"9","HOT GAME","Neko May Mắn","0/200_N_PG.png","https://m.c168i.top/game_pictures/g/2865/CL/200/3/2000089/custom.avif","images/09_Neko_May_Man.avif","ok"
"10","HOT GAME","Chiến Thắng CaiShen","0/200_N_PG.png","https://m.c168i.top/game_pictures/g/2865/CL/200/3/2000071/custom.avif","images/10_Chien_Thang_CaiShen.avif","ok"
"11","HOT GAME","Aviamasters","0/342_N_BGaming.png","https://m.c168i.top/game_pictures/g/2865/CL/342/11/3422020/custom.avif","images/11_Aviamasters.avif","ok"
"12","HOT GAME","Jackpot Đánh Cá","0/40_N_JILI.png","https://m.c168i.top/game_pictures/g/2865/CL/315/2/3150032/custom.avif","images/12_Jackpot_anh_Ca.avif","ok"
"13","HOT GAME","Đêm Cocktail","0/200_N_PG.png","https://m.c168i.top/game_pictures/g/2865/CL/200/3/2000117/custom.avif","images/13_em_Cocktail.avif","ok"
"14","HOT GAME","Wild Đạo Tặc","0/200_N_PG.png","https://m.c168i.top/game_pictures/g/2865/CL/200/3/2000104/custom.avif","images/14_Wild_ao_Tac.avif","ok"
"15","HOT GAME","Sư Phụ Wada 2","0/349_N_168G.png","https://m.c168i.top/game_pictures/g/2865/CL/349/3/3490002/custom.avif","images/15_Su_Phu_Wada_2.avif","ok"
"16","HOT GAME","Quyền Vương","0/40_N_JILI.png","https://m.c168i.top/game_pictures/g/2865/CL/315/3/3150077/custom.avif","images/16_Quyen_Vuong.avif","ok"
"17","HOT GAME","Siêu Cấp Ace","0/40_N_JILI.png","https://m.c168i.top/game_pictures/g/2865/CL/315/3/3150049/custom.avif","images/17_Sieu_Cap_Ace.avif","ok"
"18","HOT GAME","Đế quốc hoàng kim","0/40_N_JILI.png","https://m.c168i.top/game_pictures/g/2865/CL/315/3/3150103/custom.avif","images/18_e_quoc_hoang_kim.avif","ok"
